sample_id,label,prob_bad,fold,prediction,error_type
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878390320517120_000001_11353,1,0.9999969067348552,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878395849035008_000002_11354,1,0.999997719352339,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878401030891008_000003_11355,1,0.9999725629196016,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878406119305984_000004_11356,1,0.9999694353707252,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878411111907072_000005_11357,1,0.9999863319334256,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878414063932928_000006_11358,1,0.999998537102541,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878437116995072_000007_11359,1,0.9978940532774008,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878441478009856_000008_11360,1,0.8969802424393627,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878445192873984_000009_11361,1,0.9999621381274676,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878449878473984_000010_11362,1,0.9999987715516044,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878454730565120_000011_11363,1,0.9800939235494018,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878459329012992_000012_11364,1,0.0513588653779435,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878464123284224_000013_11365,1,0.9999918074676885,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878468944744192_000014_11366,1,0.6154132547183068,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878471537389056_000015_11367,1,0.999662563712012,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878476334077952_000016_11368,1,0.9999972139848592,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878481539452928_000017_11369,1,0.999997474609864,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878496553782016_000019_11371,1,0.9999990573365684,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777878607184724992_000021_11373,1,0.9999998090486036,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879282781613056_000001_11414,1,0.9999836951965771,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879288241892096_000002_11415,1,0.9999993560307912,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879293694128128_000003_11416,1,0.9999941012817462,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879298584047104_000004_11417,1,0.9999916902634354,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879301038424064_000005_11418,1,0.9999887338194352,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879316369524992_000006_11419,1,0.9999990139853696,0,1,correct
BLTA_MCRL_2026_05_04T07_01_54_620335Z_SCP/bad/sample_43_1777879321613168896_000007_11420,1,0.982336583028239,0,1,correct
